Column1,Column2,Column3,Column4,Column5.1,Column6,Column7,Column8
index,runs,opponent,ground,,match,Match_No,total
0,12,SriLanka,Dambulla,8/18/2008,ODI,1,12
1,37,SriLanka,Dambulla,8/20/2008,ODI,2,49
2,25,SriLanka,Colombo(RPS),8/24/2008,ODI,3,74
3,54,SriLanka,Colombo(RPS),8/27/2008,ODI,4,128
4,31,SriLanka,Colombo(RPS),8/29/2008,ODI,5,159
5,2,SriLanka,Colombo(RPS),9/14/2009,ODI,6,161
6,16,Pakistan,Centurion,9/26/2009,ODI,7,177
8,79,WestIndies,Johannesburg,9/30/2009,ODI,8,256
9,30,Australia,Vadodara,10/25/2009,ODI,9,286
10,10,Australia,Mohali,11/2/2009,ODI,10,296
11,27,SriLanka,Rajkot,12/15/2009,ODI,11,323
12,54,SriLanka,Nagpur,12/18/2009,ODI,12,377
13,107,SriLanka,Kolkata,12/24/2009,ODI,13,484
15,9,SriLanka,Mirpur,1/5/2010,ODI,14,493
16,91,Bangladesh,Mirpur,1/7/2010,ODI,15,584
17,71,SriLanka,Mirpur,1/10/2010,ODI,16,655
18,102,Bangladesh,Mirpur,1/11/2010,ODI,17,757
19,2,SriLanka,Mirpur,1/13/2010,ODI,18,759
20,31,SouthAfrica,Jaipur,2/21/2010,ODI,19,790
22,57,SouthAfrica,Ahmedabad,2/27/2010,ODI,20,847
23,0,Zimbabwe,Bulawayo,5/28/2010,ODI,21,847
24,82,SriLanka,Bulawayo,5/30/2010,ODI,22,929
25,18,Zimbabwe,Harare,6/3/2010,ODI,23,947
26,68,SriLanka,Harare,6/5/2010,ODI,24,1015
27,26,Zimbabwe,Harare,6/12/2010,T20,25,1041
29,11,Bangladesh,Dambulla,6/16/2010,ODI,26,1052
30,18,Pakistan,Dambulla,6/19/2010,ODI,27,1070
31,10,SriLanka,Dambulla,6/22/2010,ODI,28,1080
32,28,SriLanka,Dambulla,6/24/2010,ODI,29,1108
33,0,SriLanka,Dambulla,8/16/2010,ODI,30,1108
34,8,NewZealand,Dambulla,8/25/2010,ODI,31,1116
35,37,SriLanka,Dambulla,8/28/2010,ODI,32,1153
36,118,Australia,Visakhapatnam,10/20/2010,ODI,33,1271
37,105,NewZealand,Guwahati,11/28/2010,ODI,34,1376
38,64,NewZealand,Jaipur,12/1/2010,ODI,35,1440
39,63,NewZealand,Vadodara,12/4/2010,ODI,36,1503
40,0,NewZealand,Bengaluru,12/7/2010,ODI,37,1503
41,2,NewZealand,Chennai,12/10/2010,ODI,38,1505
42,28,SouthAfrica,Durban,1/9/2011,T20,39,1533
43,54,SouthAfrica,Durban,1/12/2011,ODI,40,1587
44,22,SouthAfrica,Johannesburg,1/15/2011,ODI,41,1609
45,28,SouthAfrica,CapeTown,1/18/2011,ODI,42,1637
46,87,SouthAfrica,Gqeberha,1/21/2011,ODI,43,1724
47,2,SouthAfrica,Centurion,1/23/2011,ODI,44,1726
48,100,Bangladesh,Mirpur,2/19/2011,ODI,45,1826
49,8,England,Bengaluru,2/27/2011,ODI,46,1834
50,34,Ireland,Bengaluru,3/6/2011,ODI,47,1868
51,12,Netherlands,Delhi,3/9/2011,ODI,48,1880
52,1,SouthAfrica,Nagpur,3/12/2011,ODI,49,1881
53,59,WestIndies,Chennai,3/20/2011,ODI,50,1940
54,24,Australia,Ahmedabad,3/24/2011,ODI,51,1964
55,9,Pakistan,Mohali,3/30/2011,ODI,52,1973
56,35,SriLanka,Wankhede,4/2/2011,ODI,53,2008
57,14,WestIndies,PortofSpain,6/4/2011,T20,54,2022
58,2,WestIndies,PortofSpain,6/6/2011,ODI,55,2024
59,81,WestIndies,PortofSpain,6/8/2011,ODI,56,2105
60,0,WestIndies,NorthSound,6/11/2011,ODI,57,2105
61,22,WestIndies,NorthSound,6/13/2011,ODI,58,2127
62,94,WestIndies,Kingston,6/16/2011,ODI,59,2221
63,4,WestIndies,Kingston,6/20/2011,Test,60,2225
64,15,WestIndies,Kingston,6/20/2011,Test,61,2240
65,0,WestIndies,Bridgetown,6/28/2011,Test,62,2240
66,27,WestIndies,Bridgetown,6/28/2011,Test,63,2267
67,30,WestIndies,Roseau,7/6/2011,Test,64,2297
69,4,England,Manchester,8/31/2011,T20,65,2301
70,55,England,Chester-le-Street,9/3/2011,ODI,66,2356
71,9,England,Southampton,9/6/2011,ODI,67,2365
72,7,England,TheOval,9/9/2011,ODI,68,2372
73,16,England,Lord's,9/11/2011,ODI,69,2388
74,107,England,Cardiff,9/16/2011,ODI,70,2495
75,37,England,Hyderabad(Deccan),10/14/2011,ODI,71,2532
76,112,England,Delhi,10/17/2011,ODI,72,2644
77,35,England,Mohali,10/20/2011,ODI,73,2679
78,86,England,Wankhede,10/23/2011,ODI,74,2765
79,0,England,Kolkata,10/25/2011,ODI,75,2765
80,15,England,Kolkata,10/29/2011,T20,76,2780
81,52,WestIndies,Wankhede,11/22/2011,Test,77,2832
82,63,WestIndies,Wankhede,11/22/2011,Test,78,2895
83,3,WestIndies,Cuttack,11/29/2011,ODI,79,2898
84,117,WestIndies,Visakhapatnam,12/2/2011,ODI,80,3015
85,20,WestIndies,Ahmedabad,12/5/2011,ODI,81,3035
86,23,WestIndies,Indore,12/8/2011,ODI,82,3058
87,80,WestIndies,Chennai,12/11/2011,ODI,83,3138
88,11,Australia,Melbourne,12/26/2011,Test,84,3149
89,0,Australia,Melbourne,12/26/2011,Test,85,3149
90,23,Australia,Sydney,1/3/2012,Test,86,3172
91,9,Australia,Sydney,1/3/2012,Test,87,3181
92,44,Australia,Perth,1/13/2012,Test,88,3225
93,75,Australia,Perth,1/13/2012,Test,89,3300
94,116,Australia,Adelaide,1/24/2012,Test,90,3416
95,22,Australia,Adelaide,1/24/2012,Test,91,3438
96,22,Australia,Sydney,2/1/2012,T20,92,3460
97,31,Australia,Melbourne,2/3/2012,T20,93,3491
98,31,Australia,Melbourne,2/5/2012,ODI,94,3522
99,77,SriLanka,Perth,2/8/2012,ODI,95,3599
100,18,Australia,Adelaide,2/12/2012,ODI,96,3617
101,15,SriLanka,Adelaide,2/14/2012,ODI,97,3632
102,12,Australia,Brisbane,2/19/2012,ODI,98,3644
103,66,SriLanka,Brisbane,2/21/2012,ODI,99,3710
104,21,Australia,Sydney,2/26/2012,ODI,100,3731
105,133,SriLanka,Hobart,2/28/2012,ODI,101,3864
106,108,SriLanka,Mirpur,3/13/2012,ODI,102,3972
107,66,Bangladesh,Mirpur,3/16/2012,ODI,103,4038
108,183,Pakistan,Mirpur,3/18/2012,ODI,104,4221
110,106,SriLanka,Hambantota,7/21/2012,ODI,105,4327
111,1,SriLanka,Hambantota,7/24/2012,ODI,106,4328
112,38,SriLanka,Colombo(RPS),7/28/2012,ODI,107,4366
113,128,SriLanka,Colombo(RPS),7/31/2012,ODI,108,4494
114,23,SriLanka,Pallekele,8/4/2012,ODI,109,4517
115,68,SriLanka,Pallekele,8/7/2012,T20,110,4585
116,58,NewZealand,Hyderabad(Deccan),8/23/2012,Test,111,4643
117,103,NewZealand,Bengaluru,8/31/2012,Test,112,4746
118,51,NewZealand,Bengaluru,8/31/2012,Test,113,4797
119,70,NewZealand,Chennai,9/11/2012,T20,114,4867
120,50,Afghanistan,Colombo(RPS),9/19/2012,T20,115,4917
121,40,England,Colombo(RPS),9/23/2012,T20,116,4957
122,15,Australia,Colombo(RPS),9/28/2012,T20,117,4972
123,78,Pakistan,Colombo(RPS),9/30/2012,T20,118,5050
124,2,SouthAfrica,Colombo(RPS),10/2/2012,T20,119,5052
125,19,England,Ahmedabad,11/15/2012,Test,120,5071
126,14,England,Ahmedabad,11/15/2012,Test,121,5085
127,19,England,Wankhede,11/23/2012,Test,122,5104
128,7,England,Wankhede,11/23/2012,Test,123,5111
129,6,England,Kolkata,12/5/2012,Test,124,5117
130,20,England,Kolkata,12/5/2012,Test,125,5137
131,103,England,Nagpur,12/13/2012,Test,126,5240
132,21,England,Pune,12/20/2012,T20,127,5261
133,38,England,Wankhede,12/22/2012,T20,128,5299
134,9,Pakistan,Bengaluru,12/25/2012,T20,129,5308
135,27,Pakistan,Ahmedabad,12/28/2012,T20,130,5335
136,0,Pakistan,Chennai,12/30/2012,ODI,131,5335
137,6,Pakistan,Kolkata,1/3/2013,ODI,132,5341
138,7,Pakistan,Delhi,1/6/2013,ODI,133,5348
139,15,England,Rajkot,1/11/2013,ODI,134,5363
140,37,England,Kochi,1/15/2013,ODI,135,5400
141,77,England,Ranchi,1/19/2013,ODI,136,5477
142,26,England,Mohali,1/23/2013,ODI,137,5503
143,0,England,Dharamsala,1/27/2013,ODI,138,5503
144,107,Australia,Chennai,2/22/2013,Test,139,5610
146,34,Australia,Hyderabad(Deccan),3/2/2013,Test,140,5644
147,67,Australia,Mohali,3/14/2013,Test,141,5711
148,34,Australia,Mohali,3/14/2013,Test,142,5745
149,1,Australia,Delhi,3/22/2013,Test,143,5746
150,41,Australia,Delhi,3/22/2013,Test,144,5787
151,31,SouthAfrica,Cardiff,6/6/2013,ODI,145,5818
152,22,WestIndies,TheOval,6/11/2013,ODI,146,5840
153,22,Pakistan,Birmingham,6/15/2013,ODI,147,5862
154,58,SriLanka,Cardiff,6/20/2013,ODI,148,5920
155,43,England,Birmingham,6/23/2013,ODI,149,5963
156,11,WestIndies,Kingston,6/30/2013,ODI,150,5974
157,2,SriLanka,Kingston,7/2/2013,ODI,151,5976
158,102,WestIndies,PortofSpain,7/5/2013,ODI,152,6078
159,31,SriLanka,PortofSpain,7/9/2013,ODI,153,6109
160,2,SriLanka,PortofSpain,7/11/2013,ODI,154,6111
161,115,Zimbabwe,Harare,7/24/2013,ODI,155,6226
162,14,Zimbabwe,Harare,7/26/2013,ODI,156,6240
163,68,Zimbabwe,Harare,7/28/2013,ODI,157,6308
166,29,Australia,Rajkot,10/10/2013,T20,158,6337
167,61,Australia,Pune,10/13/2013,ODI,159,6398
168,100,Australia,Jaipur,10/16/2013,ODI,160,6498
169,68,Australia,Mohali,10/19/2013,ODI,161,6566
171,115,Australia,Nagpur,10/30/2013,ODI,162,6681
172,0,Australia,Bengaluru,11/2/2013,ODI,163,6681
173,3,WestIndies,Kolkata,11/6/2013,Test,164,6684
174,57,WestIndies,Wankhede,11/14/2013,Test,165,6741
175,86,WestIndies,Kochi,11/21/2013,ODI,166,6827
176,99,WestIndies,Visakhapatnam,11/24/2013,ODI,167,6926
177,19,WestIndies,Kanpur,11/27/2013,ODI,168,6945
178,31,SouthAfrica,Johannesburg,12/5/2013,ODI,169,6976
179,0,SouthAfrica,Durban,12/8/2013,ODI,170,6976
181,119,SouthAfrica,Johannesburg,12/18/2013,Test,171,7095
182,96,SouthAfrica,Johannesburg,12/18/2013,Test,172,7191
183,46,SouthAfrica,Durban,12/26/2013,Test,173,7237
184,11,SouthAfrica,Durban,12/26/2013,Test,174,7248
185,123,NewZealand,Napier,1/19/2014,ODI,175,7371
186,78,NewZealand,Hamilton,1/22/2014,ODI,176,7449
187,6,NewZealand,Auckland,1/25/2014,ODI,177,7455
188,2,NewZealand,Hamilton,1/28/2014,ODI,178,7457
189,82,NewZealand,Wellington,1/31/2014,ODI,179,7539
190,4,NewZealand,Auckland,2/6/2014,Test,180,7543
191,67,NewZealand,Auckland,2/6/2014,Test,181,7610
192,38,NewZealand,Wellington,2/14/2014,Test,182,7648
193,105,NewZealand,Wellington,2/14/2014,Test,183,7753
194,136,Bangladesh,Fatullah,2/26/2014,ODI,184,7889
195,48,SriLanka,Fatullah,2/28/2014,ODI,185,7937
196,5,Pakistan,Mirpur,3/2/2014,ODI,186,7942
198,36,Pakistan,Mirpur,3/21/2014,T20,187,7978
199,54,WestIndies,Mirpur,3/23/2014,T20,188,8032
200,57,Bangladesh,Mirpur,3/28/2014,T20,189,8089
201,23,Australia,Mirpur,3/30/2014,T20,190,8112
202,72,SouthAfrica,Mirpur,4/4/2014,T20,191,8184
203,77,SriLanka,Mirpur,4/6/2014,T20,192,8261
204,1,England,Nottingham,7/9/2014,Test,193,8262
205,8,England,Nottingham,7/9/2014,Test,194,8270
206,25,England,Lord's,7/17/2014,Test,195,8295
207,0,England,Lord's,7/17/2014,Test,196,8295
208,39,England,Southampton,7/27/2014,Test,197,8334
209,28,England,Southampton,7/27/2014,Test,198,8362
210,0,England,Manchester,8/7/2014,Test,199,8362
211,7,England,Manchester,8/7/2014,Test,200,8369
212,6,England,TheOval,8/15/2014,Test,201,8375
213,20,England,TheOval,8/15/2014,Test,202,8395
214,0,England,Cardiff,8/27/2014,ODI,203,8395
215,40,England,Nottingham,8/30/2014,ODI,204,8435
216,1,England,Birmingham,9/2/2014,ODI,205,8436
217,13,England,Leeds,9/5/2014,ODI,206,8449
218,66,England,Birmingham,9/7/2014,T20,207,8515
219,2,WestIndies,Kochi,10/8/2014,ODI,208,8517
220,62,WestIndies,Delhi,10/11/2014,ODI,209,8579
221,127,WestIndies,Dharamsala,10/17/2014,ODI,210,8706
222,22,SriLanka,Cuttack,11/2/2014,ODI,211,8728
223,49,SriLanka,Ahmedabad,11/6/2014,ODI,212,8777
224,53,SriLanka,Hyderabad(Deccan),11/9/2014,ODI,213,8830
225,66,SriLanka,Kolkata,11/13/2014,ODI,214,8896
226,139,SriLanka,Ranchi,11/16/2014,ODI,215,9035
227,115,Australia,Adelaide,12/9/2014,Test,216,9150
228,141,Australia,Adelaide,12/9/2014,Test,217,9291
229,19,Australia,Brisbane,12/17/2014,Test,218,9310
230,1,Australia,Brisbane,12/17/2014,Test,219,9311
231,169,Australia,Melbourne,12/26/2014,Test,220,9480
232,54,Australia,Melbourne,12/26/2014,Test,221,9534
233,147,Australia,Sydney,1/6/2015,Test,222,9681
234,46,Australia,Sydney,1/6/2015,Test,223,9727
235,9,Australia,Melbourne,1/18/2015,ODI,224,9736
236,4,England,Brisbane,1/20/2015,ODI,225,9740
237,3,Australia,Sydney,1/26/2015,ODI,226,9743
238,8,England,Perth,1/30/2015,ODI,227,9751
239,107,Pakistan,Adelaide,2/15/2015,ODI,228,9858
240,46,SouthAfrica,Melbourne,2/22/2015,ODI,229,9904
241,33,U.A.E.,Perth,2/28/2015,ODI,230,9937
242,33,WestIndies,Perth,3/6/2015,ODI,231,9970
243,44,Ireland,Hamilton,3/10/2015,ODI,232,10014
244,38,Zimbabwe,Auckland,3/14/2015,ODI,233,10052
245,3,Bangladesh,Melbourne,3/19/2015,ODI,234,10055
246,1,Australia,Sydney,3/26/2015,ODI,235,10056
247,14,Bangladesh,Fatullah,6/10/2015,Test,236,10070
248,1,Bangladesh,Mirpur,6/18/2015,ODI,237,10071
249,23,Bangladesh,Mirpur,6/21/2015,ODI,238,10094
250,25,Bangladesh,Mirpur,6/24/2015,ODI,239,10119
251,103,SriLanka,Galle,8/12/2015,Test,240,10222
252,3,SriLanka,Galle,8/12/2015,Test,241,10225
253,78,SriLanka,Colombo(PSS),8/20/2015,Test,242,10303
254,10,SriLanka,Colombo(PSS),8/20/2015,Test,243,10313
255,18,SriLanka,Colombo(SSC),8/28/2015,Test,244,10331
256,21,SriLanka,Colombo(SSC),8/28/2015,Test,245,10352
257,43,SouthAfrica,Dharamsala,10/2/2015,T20,246,10395
258,1,SouthAfrica,Cuttack,10/5/2015,T20,247,10396
259,11,SouthAfrica,Kanpur,10/11/2015,ODI,248,10407
260,12,SouthAfrica,Indore,10/14/2015,ODI,249,10419
261,77,SouthAfrica,Rajkot,10/18/2015,ODI,250,10496
262,138,SouthAfrica,Chennai,10/22/2015,ODI,251,10634
263,7,SouthAfrica,Wankhede,10/25/2015,ODI,252,10641
264,1,SouthAfrica,Mohali,11/5/2015,Test,253,10642
265,29,SouthAfrica,Mohali,11/5/2015,Test,254,10671
267,22,SouthAfrica,Nagpur,11/25/2015,Test,255,10693
268,16,SouthAfrica,Nagpur,11/25/2015,Test,256,10709
269,44,SouthAfrica,Delhi,12/3/2015,Test,257,10753
270,88,SouthAfrica,Delhi,12/3/2015,Test,258,10841
271,91,Australia,Perth,1/12/2016,ODI,259,10932
272,59,Australia,Brisbane,1/15/2016,ODI,260,10991
273,117,Australia,Melbourne,1/17/2016,ODI,261,11108
274,106,Australia,Canberra,1/20/2016,ODI,262,11214
